AR_days:	7
child_num	tree_level	modularity	zero_ratio	RMSE
1	1	0.016014760469762426	0	3.801986503733426
1	2	0.034735995087603916	0	3.0732909638735806
1	3	0.04593075791461801	0	3.7121443063192507
1	4	0.04656808892368179	0	3.7036612361704284
1	5	0.05519315640364878	0	3.376224691461927
1	6	0.05519315640364878	0	3.376224691461927
1	7	0.05519315640364878	0	3.376224691461927
2	1	0.046019518625925994	0	3.3163252865374537
2	2	0.0924850234488338	0	5.958421657245143
2	3	0.1278314303133835	0	6.477074267210242
2	4	0.15796787444288105	0	3.475376856285444
2	5	0.2022390980747656	0	3.006409121462683
2	6	0.209820135876643	0	3.4419583909353753
2	7	0.1950611212078441	0	3.530294951287776
3	1	0.06575495350248312	0	3.475545412572659
3	2	0.14068063459543304	0	5.790210421249999
3	3	0.23529518756884413	0	3.1066525541982557
3	4	0.2678776440870088	0	6.128880959041272
3	5	0.261312989184289	0	6.320431912096428
3	6	0.23460692828280036	0	4.232867196820338
3	7	0.27442993069389054	0	3.7249204784770162
4	1	0.09798818754992789	0	5.115917183866027
4	2	0.23291247175299495	0	4.485577378409149
4	3	0.31528604958086026	0	3.1033336639692206
4	4	0.3641073509874993	0	6.059757811778099
4	5	0.36012766991492073	0	6.133437157062437
4	6	0.3044194103669601	0	6.236901707494285
4	7	0.2989307972021459	0	6.271079850790285
5	1	0.12036898264218812	0	3.6489782163752693
5	2	0.2899405012215511	0	3.114134382865436
5	3	0.37523154177355544	0	6.133352357981937
5	4	0.33734599652814656	0	5.067877350246019
5	5	0.21704103800559038	0	6.438113668200554
5	6	0.1339770182512394	0	6.889841551344531
5	7	0.05676538506870207	0	8.647104342320189
6	1	0.1555000356497939	0	5.835614975679145
6	2	0.32423123765898726	0	3.744737090089218
6	3	0.411111240452767	0	4.615541023043751
6	4	0.33864903287202014	0	4.713980332278947
6	5	0.2164488148989947	0	4.9820724491593165
6	6	0.13354922072460762	0	5.582825802507547
6	7	0.037308600621906975	0	10.880313609608715
7	1	0.16886216043571325	0	2.963260459070988
7	2	0.3738746669654459	0	3.290454159118918
7	3	0.3603633950826566	0	4.692920121370251
7	4	0.1792508013928156	0	5.427860073626289
7	5	0.04526723522025029	0	10.872796609422839
7	6	0.03859854112312856	0	10.895288227414834
7	7	0.034902603308009844	0	10.896877106973873
