AR_days:	7
child_num	tree_level	modularity	zero_ratio	RMSE
1	1	0.02775108937219166	0	3.529018753790581
1	2	0.051765801962325685	0	3.567075639569818
1	3	0.059669209343853426	0	5.590535911105499
1	4	0.06476062926407934	0	5.590989095001142
1	5	0.06476062926407934	0	5.590989095001142
1	6	0.06476062926407934	0	5.590989095001142
1	7	0.06476062926407934	0	5.590989095001142
2	1	0.0616162498422958	0	5.720644182070406
2	2	0.12925558758164224	0	6.6013321240958565
2	3	0.18023529468852206	0	7.627411668745396
2	4	0.20537819896934228	0	9.446774484309387
2	5	0.22824288390058325	0	8.006150846827948
2	6	0.2304737919857144	0	8.006261440628064
2	7	0.23365941712522198	0	5.888976499223833
3	1	0.09986680059393833	0	8.657420524577839
3	2	0.20143923292669907	0	3.4959935692179953
3	3	0.2738242544229967	0	3.4852633112853684
3	4	0.31921759299696234	0	5.875097806403
3	5	0.3139684688619093	0	8.043993919290326
3	6	0.3231298706340195	0	9.289184891230718
3	7	0.3716360477868033	0	5.932238166358777
4	1	0.12166516241107907	0	8.809923200690156
4	2	0.2534355256645413	0	8.700609548477772
4	3	0.32036519443716577	0	7.596440276340045
4	4	0.3585393193000843	0	3.641706805283359
4	5	0.3932682136237032	0	9.445098286398853
4	6	0.3930170999893247	0	4.12250255228389
4	7	0.32489858405877264	0	9.575280482642299
5	1	0.17959234673576532	0	3.4426173236966204
5	2	0.308259576285168	0	7.594752458538515
5	3	0.41270222532778206	0	8.804048480626628
5	4	0.5170963499966033	0	6.167643158404899
5	5	0.39774094777806895	0	8.32032272541491
5	6	0.3753141953203093	0	6.635999868524376
5	7	0.3630799875777603	0	5.714726690775738
6	1	0.19464096815830587	0	4.864558007342406
6	2	0.3518247590764841	0	3.5122770528915934
6	3	0.49120131792199223	0	8.842889033488674
6	4	0.39232805388146463	0	8.46019166502172
6	5	0.3663723663396123	0	6.931109163413489
6	6	0.39027668597936743	0	9.052225746161051
6	7	0.34999296396579993	0	7.859960690522464
7	1	0.21862413990547455	0	4.722651395364717
7	2	0.3948670917401811	0	4.916424843700932
7	3	0.48404397278753114	0	8.837131405221292
7	4	0.415107821158568	0	5.016142101856358
7	5	0.3834347492745606	0	5.444958470949879
7	6	0.3839818615890761	0	7.936129891789491
7	7	0.32567133471142545	0	8.221856341946834
