AR_days:	7
child_num	tree_level	modularity	zero_ratio	RMSE
1	1	0.016166586875515858	0	3.372891899597814
1	2	0.03183311763678026	0	4.29297120260011
1	3	0.03780893026348126	0	3.632986168239935
1	4	0.04095345926602559	0	3.6332966540247598
1	5	0.04095345926602559	0	3.6332966540247598
1	6	0.04095345926602559	0	3.6332966540247598
1	7	0.04095345926602559	0	3.6332966540247598
2	1	0.03698994631499841	0	4.508937649564985
2	2	0.09868365910379145	0	4.592012129691923
2	3	0.1481075291119316	0	5.571579489943644
2	4	0.17255700568671767	0	7.352275684746702
2	5	0.19634021431382215	0	4.308731874376714
2	6	0.2155042966469249	0	4.297221155520028
2	7	0.22803127055450825	0	4.296722328491674
3	1	0.06253116471876814	0	3.958618868461973
3	2	0.16443038352315104	0	4.403663498061878
3	3	0.19414607605114775	0	4.340067675069724
3	4	0.2692056352914603	0	4.05438407062932
3	5	0.3059718349076103	0	5.605237219887793
3	6	0.3196431133607322	0	4.394953043470263
3	7	0.3196431133607322	0	4.394953043470263
4	1	0.09194355616610386	0	4.626490921951606
4	2	0.19000924819688572	0	5.195415613081445
4	3	0.31659021395866865	0	2.9119680538484163
4	4	0.35850329795531033	0	6.1599707386588545
4	5	0.3899244375434175	0	4.250193382897932
4	6	0.3899244375434175	0	4.250193382897932
4	7	0.3899244375434175	0	4.250193382897932
5	1	0.11061965760362313	0	2.8948053684691533
5	2	0.22715759296852914	0	3.9661237014940616
5	3	0.3616655846323665	0	3.299302879954686
5	4	0.3988757261113109	0	3.2368500752113927
5	5	0.4075897721477269	0	5.915912528131519
5	6	0.4075897721477269	0	5.915912528131519
5	7	0.4075897721477269	0	5.915912528131519
6	1	0.13850204781502473	0	6.3533478234441905
6	2	0.2473153947673105	0	3.260463062682985
6	3	0.3926846904695272	0	3.1632355467583912
6	4	0.40917659794209865	0	5.83527593731813
6	5	0.40299550659804156	0	4.504074057901407
6	6	0.3459479117685081	0	4.444018341943126
6	7	0.29132814619822395	0	4.792659792996637
7	1	0.17561416693066412	0	4.40311320383236
7	2	0.27390857780915756	0	3.281249955503704
7	3	0.37916541771022594	0	6.001748078723333
7	4	0.3726092842804804	0	5.535551213196391
7	5	0.3041932262285114	0	4.34244390217632
7	6	0.21017912521433518	0	4.9757058578549485
7	7	0.10682945955583073	0	5.485725968293039
